Sales Person,Geography,Product,Date,Amount,Boxes
Dennison Crosswaite,UK,Almond Choco,1/1/2021,2037,422
Kelci Walkden,India,Almond Choco,1/1/2021,6160,126
Gigi Bohling,Canada,Caramel Stuffed Bars,1/1/2021,1442,200
Madelene Upcott,India,Eclairs,1/1/2021,6979,252
Oby Sorrel,USA,Manuka Honey Choco,1/1/2021,966,71
Brien Boise,USA,After Nines,1/1/2021,7924,124
Jan Morforth,New Zealand,Spicy Special Slims,1/1/2021,2996,88
Marney O'Breen,USA,85% Dark Bars,1/1/2021,1981,471
Gigi Bohling,Canada,Eclairs,1/1/2021,1456,10
Andria Kimpton,USA,White Choc,1/1/2021,5257,577
Kelci Walkden,Australia,Smooth Sliky Salty,1/1/2021,4767,189
Barr Faughny,Canada,White Choc,1/1/2021,4718,67
Barr Faughny,UK,Orange Choco,1/1/2021,9303,82
Barr Faughny,USA,Mint Chip Choco,1/1/2021,14,1
Husein Augar,UK,Caramel Stuffed Bars,1/1/2021,7518,9
Barr Faughny,Canada,Eclairs,1/1/2021,7651,288
Ches Bonnell,USA,Eclairs,1/1/2021,2359,125
Jan Morforth,Canada,85% Dark Bars,1/1/2021,70,396
Marney O'Breen,USA,Smooth Sliky Salty,1/1/2021,399,70
Dotty Strutley,USA,Peanut Butter Cubes,1/1/2021,3801,52
Jan Morforth,Australia,After Nines,1/1/2021,5201,97
Gigi Bohling,USA,After Nines,1/1/2021,2450,55
Oby Sorrel,India,70% Dark Bites,1/1/2021,5131,619
Curtice Advani,USA,White Choc,1/1/2021,5369,26
Oby Sorrel,Australia,Drinking Coco,1/1/2021,728,634
Rafaelita Blaksland,UK,Manuka Honey Choco,1/1/2021,5880,11
Kaine Padly,UK,Spicy Special Slims,1/1/2021,1148,285
Dotty Strutley,India,After Nines,1/1/2021,2058,321
Beverie Moffet,Australia,Manuka Honey Choco,1/1/2021,3906,131
Husein Augar,Australia,70% Dark Bites,1/1/2021,560,676
Husein Augar,New Zealand,Fruit & Nut Bars,1/1/2021,3647,7
Brien Boise,USA,Eclairs,1/1/2021,3038,539
Jan Morforth,USA,Raspberry Choco,1/1/2021,4760,196
Dennison Crosswaite,New Zealand,Organic Choco Syrup,1/1/2021,1750,138
Husein Augar,UK,After Nines,1/1/2021,10241,377
Dennison Crosswaite,UK,99% Dark & Pure,1/1/2021,3500,46
Curtice Advani,UK,Peanut Butter Cubes,1/1/2021,1652,221
Karlen McCaffrey,UK,Milk Bars,1/1/2021,5257,45
Husein Augar,India,50% Dark Bites,1/1/2021,3360,207
Karlen McCaffrey,USA,Raspberry Choco,1/1/2021,7616,208
Curtice Advani,New Zealand,Organic Choco Syrup,1/1/2021,371,31
Husein Augar,USA,Organic Choco Syrup,1/1/2021,1743,77
Husein Augar,Australia,Fruit & Nut Bars,1/1/2021,6251,212
Dennison Crosswaite,India,Caramel Stuffed Bars,1/4/2021,3717,174
Kaine Padly,India,Fruit & Nut Bars,1/4/2021,5712,537
Curtice Advani,UK,Eclairs,1/4/2021,1862,334
Dotty Strutley,India,Orange Choco,1/4/2021,4473,373
Kaine Padly,USA,After Nines,1/4/2021,5509,39
Wilone O'Kielt,UK,Baker's Choco Chips,1/4/2021,4221,103
Dotty Strutley,Australia,Drinking Coco,1/4/2021,707,203
Gunar Cockshoot,India,Mint Chip Choco,1/4/2021,1603,73
